shapeID,shapeLabel,propertyID,path,propertyLabel,AltPropertyID,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note
,,,,,,,FALSE,,,,,,
resource,Datacite resource,language,,language,dct:language,FALSE,FALSE,,xsd:language,,,,
,,publicationYear,,publication year,dct:date,TRUE,FALSE,,xsd:token,,/[\d]{4}/,pattern,
,,version,,version,dct:hasVersion,FALSE,FALSE,,xsd:string,,,,
,,publisher,,publisher,dct:publisher,TRUE,FALSE,,xsd:string,,,pattern,"In fact, the constraint is non-zero length, but the xs:string type does not normalize whitespace, so a single blank character also satisfies the constraint."
,,resourceType,,resource type,dct:type,TRUE,FALSE,,xsd:string,,,picklist,
,,resourceTypeGeneral,,resource type-general,dct:type,TRUE,FALSE,,xsd:string,,,picklist,
,,identifier,,identifer,dct:identifier,TRUE,FALSE,,xsd:string,,/.+/,pattern,
,,identifierType,,identifier type,,TRUE,FALSE,,xsd:anyType,,,,
,,size,/resource/sizes/size,size,dct:extent,FALSE,TRUE,,xsd:string,,,,
,,format,/resource/formats/format,format,dct:format,FALSE,TRUE,,xsd:string,,,,
,,,,,,,,,,,,,
,,creator,/resource/creators/creator,,,TRUE,TRUE,,,creator-S,,,
,,titles,/resource/titles,,,TRUE,TRUE,,,title-S,,,
,,subjects,/resource/subjects,,,FALSE,TRUE,,,subjects-S,,,
,,contributors,/resource/contributors,,,FALSE,TRUE,,,contributor-S,,,
,,dates,/resource//res,,,FALSE,TRUE,,,dates-S,,,
,,alternateIdentifiers,/resource/alternateIdentifiers,,,FALSE,TRUE,,,alternateIdentifiers-S,,,
,,relatedIdentifiers,/resource/relatedIdentifiers,,,FALSE,TRUE,,,relatedIdentifiers-S,,,
,,rightsList,/resource//rightsList,,,FALSE,FALSE,,,rightsList-S,,,
,,descriptions,/resource/descriptions,,,FALSE,TRUE,,,descriptions-S,,,
,,geoLocations,/resource/geoLocations,,,FALSE,TRUE,,,geoLocations-S,,,
,,fundingReferences,/resource/fundingReferences,,,FALSE,FALSE,,,fundingReferences-S,,,
,,relatedItems,/resource/relatedItems,,,FALSE,FALSE,,,relatedItems-S,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
creators-S,Creators,creatorName,/resource/creators/creator/creatorName,creator name,dct:creator,TRUE,FALSE,,xsd:string,,,,
,,givenName,/resource/creators/creator/givenName,given name,foaf:givenName,FALSE,FALSE,,xsd:anyType,,,,Not a valid data type for TAP
,,familyName,/resource/creators/creator/familyName,family name,foaf:familyName,FALSE,FALSE,,xsd:anyType,,,,Not a valid data type for TAP
