shapeID,shapeLabel,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,note
mods,MODS Document,dce:title,Title Info,n,y,IRI,,titleInfo,,Minted object mapping option for <mods:titleInfo>. Use to relate the object being described to its minted title.
mods,MODS Document,relators:aut,Name,n,y,IRI,,name,,"Minted object mapping option for <mods:name>. The mapping allows for the use of any term from the MARC Code List for Relators. For example, Author. Value is either text or IRI from a controlled vocabulary (like Library of Congress Name Authority File)."
mods,MODS Document,bf:provisionActivity,Origin Info,n,y,IRI,,originInfo,,Minted object mapping option for <mods:originInfo>. Use to relate the object being described to a minted origination information object.
mods,MODS Document,dcterms:audience,Target Audience,n,y,IRI,,targetAudience,,Minted object mapping option for <mods:targetAudience>. Use to relate the object being described to its minted target audience.
mods,MODS Document,bf:note,Note,n,y,IRI,,note,,Minted object mapping option for <mods:note>. Use to relate the object being described to its minted note value.
mods,MODS Document,dcterms:subject,Subject,n,y,IRI,,subject,,Minted object mapping option for <mods:subject>. Use for topic and name subjects.
mods,MODS Document,dcterms:spatial,Geographical Subject,n,y,IRI,,subject,,Minted object mapping option for <mods:subject>. Use for geographic subjects.
mods,MODS Document,dcterms:temporal,Temporal Subject,n,y,IRI,,subject,,"Minted object mapping option for <mods:subject>. Use for text-based temporal subjects that cannot be represented by an ​EDTF​ timespan (e.g. ""French Revolution"")."
mods,MODS Document,bf:hasSeries,Series Statement,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to relate a commercial or bibliographic series object to the item being described.
mods,MODS Document,bf:seriesOf,Series Of,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to relate an archival series object to its parent collection.
mods,MODS Document,bibo:presentedAt,Presented At,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to indicate the IRI for the event the item was produced as part of.
mods,MODS Document,dbo:isPartOf,Is Part Of,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to indicate the IRI for the physical/source collection the item belongs to.
mods,MODS Document,dcterms:hasVersion,Has Version,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to link to an alternate version of the item.
mods,MODS Document,dcterms:isPartOf,Is Part Of,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to link to the administrative or primary digital collection the item belongs to.
mods,MODS Document,opaque:memberOfArchivalSeries,Member of Archival Series,n,y,IRI,,relatedItem,,"Minted object mapping option for <mods:relatedItem>. Use to relate an archival series object to the item being described. (This predicate has been proposed, but not implemented.)"
mods,MODS Document,pcdm:memberOf,Member of Digital Collection,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to link to the digital collection the item belongs to.
mods,MODS Document,rdau:P60101,Contained In,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to indicate the IRI for a parent item that the item being described belongs to. (Lexical alias: rdau:containedIn.en)
mods,MODS Document,rdau:P60249,Container Of,n,y,IRI,,relatedItem,,Minted object mapping option for <mods:relatedItem>. Use to indicate the IRI of a constituent item. (Lexical alias: rdau:containerOf.en)
mods,MODS Document,relators:rps,Location,n,y,IRI,,location,,"Minted object mapping option for <mods:location>. Use for <mods:physicalLocation> values, preferably using an IRI for the organization from a controlled vocabulary such as VIAF of Library of Congress Real World Objects."
mods,MODS Document,bf:adminMetadata,Record Info,n,n,IRI,,recordInfo,,"Minted object mapping option for <mods:recordInfo>. Use to relate the object being described to an object representing the information about the metadata, such as provenance and description standards."
titleInfo,Title Info,rdf:type,,n,n,IRI,,,bf:Title,The class for minted title objects.
titleInfo,Title Info,bf:variantType,Variant Title Type,n,y,LITERAL,xsd:string,,,"Use to indicate the type of a non-primary title (alternative, translated, etc.)"
titleInfo,Title Info,rdfs:label,,n,y,LITERAL,xsd:string,,,"Use for the main title value, including leading articles and subtitles. (Non-sort articles should be handled via the application indexing logic.)"
titleInfo,Title Info,skos:note,,n,y,LITERAL,xsd:string,,,Use to indicate that the title has been supplied by cataloger.
titleInfo,Title Info,skos:relatedMatch,,n,y,IRI,,,,Use to relate a minted title to a title with an existing IRI authority (e.g. uniform title).
titleInfo,Title Info,skosxl:prefLabel,,n,y,IRI,,,,Use to indicate a preferred title by indicating the IRI of the preferred title as the object.
name,Name,opaque:nameOrder,Order of Names,n,y,LITERAL,xsd:string,,,"Use this to list multiple names in a specific order associated with the object being described. Use semicolon as delimiter. The delimited list can include IRI values (as literals) or text values. (This predicate has been proposed, but not implemented.)"
name,Name,rdf:type,,n,n,IRI,,,foaf:Person,A class for minted name objects.
name,Name,rdf:type,,n,n,IRI,,,foaf:Organization,A class for minted name objects.
name,Name,rdf:type,,n,n,IRI,,,foaf:Agent,A class for minted name objects.
name,Name,foaf:name,Name,n,y,LITERAL,xsd:string,,,Use this for the full name value as text.
name,Name,owl:sameAs,,n,y,IRI,,,,Use to identify an exact match between a minted name and a name with an existing IRI authority (e.g. id.loc.gov).
name,Name,schema:birthDate,Birth Date,n,y,LITERAL,xsd:string,,,Use for birth date in ISO 8601 date format.
name,Name,schema:deathDate,Death Date,n,y,LITERAL,xsd:string,,,Use for death date in ISO 8601 date format.
name,Name,schema:affiliation,Affiliation,n,y,IRI,,,,"Used to connect this local minted object to an institution, organization, etc with which the entity recorded was associated at the time the resource was created. Value is from a controlled vocabulary (like Library of Congress Name Authority File) or another locally minted object."
originInfo,Origin Info,rdf:type,,n,n,IRI,,,bf:ProvisionActivity,The class for minted origination objects.
originInfo,Origin Info,rdf:type,,n,n,IRI,,,bf:Manufacture,"Subclass of bf:ProvisionActivity, use for minted origination events relating to item manufacture."
