Vocabulary,Prefix,Namespace
BIBFRAME (v.2),bf,http://id.loc.gov/ontologies/bibframe/
The Bibliographic Ontology,bibo,http://purl.org/ontology/bibo/
Classification Schemes,classSchemes,http://id.loc.gov/vocabulary/classSchemes
DBPedia Ontology,dbo,http://dbpedia.org/ontology/
"Dublin Core Metadata Element Set, Version 1.1",dce,http://purl.org/dc/elements/1.1/
DCMI Metadata Terms,dcterms,http://purl.org/dc/terms/
DCMI Type Vocabulary,dcmitype,http://dublincore.org/documents/2000/07/11/dcmi-type-vocabulary/#
EBUCore,ebucore,https://www.ebu.ch/metadata/ontologies/ebucore/ebucore#
Europeana Data Model,edm,http://www.europeana.eu/schemas/edm/
FOAF (Friend of a Friend),foaf,http://xmlns.com/foaf/spec/#
GeoJSON-LD,geojson,https://purl.org/geojson/vocab#
MARC Code List for Relators,relators,http://id.loc.gov/vocabulary/relators
OpaqueNamespace (used as a placeholder for proposed predicates),opaque,http://opaquenamespace.org/​
OWL 2,owl,https://www.w3.org/2002/07/owl#
Portland Common Data Model,pcdm,http://pcdm.org/models#
RDA Unconstrained,rdau,http://rdaregistry.info/Elements/u/#
The RDF Concepts Vocabulary (RDF),rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
RDF Schema 1.1,rdfs,https://www.w3.org/TR/rdf-schema/
Schema.org,schema,http://schema.org/
SKOS Simple Knowledge Organization System,skos,http://www.w3.org/2004/02/skos/core#
SKOS Simple Knowledge Organization System eXtension for Labels,skosxl,http://www.w3.org/2008/05/skos-xl
Standard Identifiers Scheme,identifiers,http://id.loc.gov/vocabulary/identifiers
