shapeID,shapeLabel,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,note
<scholarly_article>,,rdfs:label,,FALSE,TRUE,,rdf:langString,,,,
,,schema:description,,FALSE,TRUE,,rdf:langString,,,,
,,skos:prefLabel,,FALSE,TRUE,,rdf:langString,,,,
,,p:P31,,TRUE,FALSE,,,,,<#P31_instance_of>,
,,p:P1433,,TRUE,FALSE,,,,,<#P1433_published_in>,
,,p:P2093,,FALSE,TRUE,,,,,<#P2093_author_name_string,
,,p:P304,,TRUE,FALSE,,,,,<#P304_pages>,
,,p:P433,,TRUE,FALSE,,,,,<#P433_issue>,
,,p:P478,,TRUE,FALSE,,,,,<#P478_volume>,
,,p:P577,,TRUE,FALSE,,,,,<#P557_publication_data>,
,,p:P356,,TRUE,FALSE,,,,,<#P356_DOI>,
,,,,,,,,,,,
<#P31_instance_of>,,ps:P31,,TRUE,FALSE,,,wd:Q13442814,,,
,,prov:wasDerivedFrom,,TRUE,FALSE,,,,,<#reference>,
,,,,,,,,,,,
<#P304_pages>,,ps:P304,,TRUE,FALSE,,xsd:string,,,,
,,prov:wasDerivedFrom,,TRUE,FALSE,,,,,<#reference>,
,,,,,,,,,,,
<#P356_DOI>,,ps:P356,,TRUE,FALSE,,xsd:string,,,,
,,psn:P356,,,,IRI,,,,,
,,,,,,,,,,,
<#P433_issue>,,ps:P433,,TRUE,FALSE,,xsd:string,,,,
,,prov:wasDerivedFrom,,TRUE,FALSE,,,,,<#reference>,
,,,,,,,,,,,
<#P478_volume>,,ps:P478,,TRUE,FALSE,,xsd:string,,,,
,,prov:wasDerivedFrom,,TRUE,FALSE,,,,,<#reference>,
,,,,,,,,,,,
,,,,,,,,,,,
<#P577_publication_data>,,ps:P577,,TRUE,FALSE,,xsd:dateTime,,,,
,,psv:P577,,TRUE,FALSE,IRI,,,,,
,,prov:wasDerivedFrom,,TRUE,FALSE,,,,,<#reference>,
,,,,,,,,,,,
<#P1433_published_in>,,ps:P1433,,,,IRI,,http://wikidata.org/entity/,iriStem,,
,,prov:wasDerivedFrom,,TRUE,FALSE,,,,,<#reference>,
,,,,,,,,,,,
<#P1478_title>,,ps:P1478,,TRUE,FALSE,,rdf:langString,,,,
,,prov:wasDerivedFrom,,TRUE,FALSE,,,,,<#reference>,
,,,,,,,,,,,
<#P2093_author_name_string>,,pq:P1545,,TRUE,FALSE,,xsd:string,,,,
,,prov:wasDerivedFrom,,TRUE,FALSE,,,,,<#reference>,
,,ps:P2093,,TRUE,FALSE,,xsd:string,,,,
,,,,,,,,,,,
<#reference>,,pr:P248,,TRUE,FALSE,,,http://wikidata.org/entity/,iriStem,,
,,pr:P356,,TRUE,FALSE,,xsd:string,,,,
,,prn:P356,,TRUE,FALSE,IRI,,,,,
,,pr:P813,,TRUE,FALSE,,xsd:dateTime,,,,
,,pr:P854,,TRUE,FALSE,IRI,,,,,
